,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.41592407,0.031106383,0.36502278,0.0011410717,0.37286648,0.011767266,0.36844614,0.0013542941,0.37507933,0.006085902,0.36609957,0.004240881,0.37862378,0.0006870224,0.41017222,0.00049548683
2,0.38498583,0.014175441,0.36780313,0.0038758742,0.36347857,0.009164775,0.37348676,0.0061516603,0.38205916,0.006179508,0.368679,0.003568596,0.46908164,0.022636995,0.4161318,0.0013457877
3,0.39316955,0.01738449,0.36965758,0.006224652,0.36698395,0.014707245,0.37220418,0.0049634366,0.37934494,0.013825091,0.3647924,0.001967219,0.58565396,0.024832241,0.4270103,0.0026474686
4,0.4391079,0.036052346,0.37591314,0.003221807,0.3601428,0.0034043242,0.37535477,0.0076647685,0.38416538,0.009645303,0.3697495,0.005954672,0.6225463,0.011636859,0.4343887,0.0037630955
5,0.44932118,0.03772111,0.3786562,0.004372701,0.38168424,0.020758588,0.3740408,0.006805521,0.38318163,0.00879655,0.37902752,0.020609982,0.6518348,0.019373534,0.44238096,0.0052908054
6,0.45092553,0.03271707,0.39116332,0.010867753,0.36788064,0.013469716,0.37677404,0.0074068448,0.38039213,0.0069664745,0.37706855,0.018527195,0.6667057,0.017606411,0.45220122,0.0051563666
7,0.43759137,0.040822733,0.39919364,0.010955454,0.37768257,0.02701878,0.37720504,0.004506714,0.38500896,0.0067599867,0.3811205,0.025361804,0.6788735,0.012299978,0.46409672,0.008056257
8,0.42499256,0.03268921,0.40703225,0.014543994,0.38732272,0.038333714,0.3791349,0.008464341,0.38542846,0.009041468,0.37881863,0.02814626,0.685847,0.015045709,0.47272944,0.007945779
9,0.4564933,0.014320227,0.4126087,0.011222191,0.380801,0.016034694,0.3828472,0.008153314,0.38028505,0.0074432148,0.38700944,0.04127535,0.6889788,0.015625987,0.47925648,0.010246587
10,0.46634355,0.005363347,0.42161664,0.0141127,0.376285,0.011704622,0.38299325,0.008358734,0.38022497,0.0059009264,0.38199925,0.012533535,0.6971874,0.013455312,0.48552948,0.0060458225
11,0.4645006,0.016082615,0.43042845,0.02338533,0.37313586,0.0134736905,0.3844449,0.010006301,0.37983054,0.0011176781,0.39166996,0.01119265,0.70267004,0.0156097,0.49564147,0.0052989186
12,0.46431297,0.022200564,0.43970972,0.0218391,0.38220316,0.018253954,0.38428238,0.012259286,0.38060114,0.009389255,0.39883024,0.013298762,0.70556444,0.01255919,0.5045582,0.0053916886
13,0.47301945,0.01519875,0.45191598,0.02787133,0.3818819,0.0145076495,0.3857544,0.013364871,0.37670335,0.005390002,0.42596292,0.029725388,0.70714015,0.013855159,0.51457477,0.0097699035
14,0.4791809,0.01909564,0.46006936,0.029347006,0.37348825,0.010474621,0.38856646,0.012348653,0.3809009,0.006272777,0.42593795,0.031643108,0.7084331,0.012383264,0.5192955,0.008977639
15,0.48175493,0.026186742,0.4667829,0.026740383,0.38502058,0.033277884,0.38764632,0.009824485,0.38205954,0.008728294,0.4229911,0.039989427,0.7130815,0.015909093,0.5292214,0.00967402
16,0.4861141,0.03434422,0.4766202,0.028700689,0.3770835,0.013749562,0.3896743,0.011567944,0.38281766,0.010178458,0.40622187,0.058987733,0.71399605,0.014699415,0.5360626,0.009485958
17,0.49023288,0.040779468,0.47739756,0.02885169,0.37113482,0.013103095,0.38979042,0.013838274,0.37973964,0.0044053346,0.40988883,0.04065137,0.7160675,0.01341395,0.5377008,0.0128768375
