,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.25585517,0.005424359,0.25947607,0.0021436454,0.2711079,0.019608105,0.26594955,0.0018364071,0.24790709,0.0036810962,0.24642229,0.007171415,0.2992342,0.0010628009,0.28699252,0.00072232715
2,0.23201784,0.0073876083,0.26316085,0.0057454966,0.24723192,0.018446214,0.275772,0.012482727,0.26674798,0.0028019135,0.2563496,0.0036617527,0.336107,0.050478015,0.2898304,0.00232337
3,0.24193764,0.01579906,0.26787528,0.015071674,0.24445167,0.007341989,0.2742943,0.011294155,0.25938344,0.009136012,0.2657961,0.003950239,0.40996152,0.048704494,0.2972757,0.0037365525
4,0.20816708,0.028282605,0.26472026,0.012782541,0.24047562,0.018447842,0.27750278,0.016423622,0.26088494,0.0034356322,0.28284076,0.036735218,0.4478495,0.034506295,0.2998334,0.006654199
5,0.20703435,0.034853984,0.26394784,0.017068101,0.2710864,0.028063964,0.27599162,0.016214365,0.2635561,0.009038018,0.29859647,0.027953072,0.4674421,0.028955586,0.30110517,0.008490538
6,0.21626511,0.0442393,0.27639997,0.015599262,0.2671273,0.03959531,0.27724814,0.018460646,0.26643163,0.0077620223,0.3085596,0.018455015,0.47978872,0.036230963,0.3063107,0.010984516
7,0.22877331,0.049152724,0.27864656,0.018164098,0.26130027,0.016788486,0.27402762,0.014218148,0.26505107,0.009329224,0.29130358,0.047389418,0.4912673,0.04628238,0.31356484,0.012540988
8,0.23982516,0.04504636,0.28247792,0.019744439,0.27839354,0.050713256,0.27792338,0.016058965,0.2697179,0.0135654,0.28091007,0.042664856,0.49789324,0.04716042,0.31989413,0.011557494
9,0.22420907,0.057311606,0.2806262,0.025279447,0.26718464,0.028460853,0.28036907,0.016293064,0.2626466,0.011545763,0.27884892,0.048531417,0.5014898,0.047844563,0.3221056,0.01227552
10,0.22189704,0.06160021,0.28276637,0.026292387,0.25758892,0.02343093,0.27953306,0.018406486,0.26706725,0.010121295,0.29378277,0.04967535,0.5079149,0.04984119,0.3244907,0.013263338
11,0.23546731,0.06786102,0.28239945,0.02760578,0.26138693,0.024043147,0.27997947,0.016694887,0.2670815,0.008575847,0.29633534,0.054082897,0.50983906,0.051631227,0.3277213,0.013529528
12,0.237371,0.07023292,0.28274348,0.029935593,0.26106834,0.026535219,0.2799704,0.018625062,0.2684922,0.013857971,0.27870145,0.037377443,0.51129687,0.048291378,0.32954937,0.012702363
13,0.2328356,0.07720953,0.28871417,0.035003826,0.26566464,0.026135663,0.28188327,0.022337457,0.26538616,0.0066394373,0.26140928,0.040821344,0.51346123,0.04918954,0.33478922,0.018164957
14,0.22887501,0.080316246,0.2883465,0.032102406,0.25880787,0.025504699,0.28383872,0.022014663,0.26571622,0.0073124887,0.25594887,0.03735304,0.51395583,0.04778772,0.3366797,0.020393038
15,0.22921582,0.082014285,0.29778406,0.039218932,0.24974854,0.020067008,0.282113,0.019704252,0.2688568,0.009136969,0.26227298,0.045189295,0.5223376,0.05129826,0.3410051,0.021852886
16,0.23071857,0.08177797,0.29920432,0.043118093,0.25671434,0.030791366,0.2845299,0.01949503,0.26428932,0.010036499,0.26195332,0.047769733,0.52350944,0.045687307,0.34333223,0.019926153
17,0.23250842,0.0806457,0.29590073,0.04188888,0.25902903,0.024890995,0.2847905,0.021490386,0.26329452,0.008127417,0.26225227,0.035322472,0.5228554,0.04461777,0.34425658,0.0192161
