,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.5057303,0.0017025032,0.5122859,0.0005007798,0.51645666,0.006129106,0.51469976,0.0005960663,0.5129368,0.00290344,0.5119623,0.0017381788,0.5252352,0.00039720754,0.5236862,0.00027174753
2,0.4975272,0.0072957505,0.5109764,0.0012317935,0.5101962,0.011791513,0.51512384,0.0013407257,0.5165974,0.004534993,0.51179224,0.0036681031,0.5720679,0.0425281,0.5260047,0.0008711972
3,0.5026897,0.0057004876,0.5095967,0.0026859888,0.508376,0.006348254,0.5144795,0.00092609104,0.5167969,0.005746295,0.511015,0.0013169151,0.62692815,0.0411467,0.5311214,0.002465642
4,0.50268584,0.005487285,0.5066111,0.0024436088,0.50948536,0.004265999,0.51488376,0.00194522,0.51546556,0.0049401266,0.50967246,0.0059996317,0.6530665,0.055510275,0.5339726,0.0055607525
5,0.49951378,0.010328401,0.5042368,0.002883221,0.51654845,0.015616103,0.51468235,0.0017776865,0.5168803,0.005594965,0.5128581,0.0037469866,0.67248386,0.056977384,0.5371025,0.005715947
6,0.5003769,0.009581885,0.5044502,0.0038502319,0.50630844,0.007792706,0.51526207,0.0022113489,0.5166611,0.005047912,0.52041787,0.014867061,0.68487275,0.062038925,0.5423032,0.008534166
7,0.5026046,0.008307024,0.5031319,0.0031940676,0.5051379,0.00993642,0.5147765,0.00201563,0.51494634,0.00843161,0.5161248,0.011676405,0.6979404,0.07448815,0.5496324,0.009006172
8,0.5045002,0.0076892516,0.50207275,0.0053201783,0.5146169,0.025879687,0.5155955,0.0019941311,0.5169012,0.0048248367,0.5136008,0.00818871,0.70567465,0.073036216,0.55468255,0.009232428
9,0.50192326,0.010481252,0.50092524,0.005691376,0.4996974,0.015164877,0.51559037,0.0024118493,0.5129244,0.0030735054,0.5135109,0.008512326,0.7101633,0.07018001,0.55760586,0.008722508
10,0.50176734,0.011465079,0.49886376,0.0069058593,0.5029453,0.020042783,0.51596475,0.0028320309,0.516306,0.0057248166,0.51207715,0.004929008,0.7212113,0.08044656,0.56035364,0.011319624
11,0.50265557,0.015233926,0.49855897,0.0070500816,0.5042466,0.008619372,0.51618236,0.0031181849,0.51706785,0.006316486,0.51012236,0.0054657967,0.7211763,0.073989004,0.5646603,0.01338882
12,0.5036934,0.017847568,0.4955949,0.008666213,0.508195,0.012613956,0.515399,0.003478121,0.5180787,0.0056638755,0.5086217,0.0025375313,0.7270361,0.072128795,0.56899154,0.015169058
13,0.5037881,0.017507076,0.4960653,0.009428278,0.5100479,0.00876708,0.5158127,0.0029857778,0.51539433,0.008084656,0.50354326,0.005021594,0.7260442,0.069019526,0.5737729,0.015803108
14,0.504633,0.021827666,0.494756,0.00985565,0.5068135,0.009419443,0.5175106,0.0021113576,0.5169581,0.008489075,0.50135255,0.0032182902,0.7301242,0.07036758,0.5753908,0.014442114
15,0.50645,0.023627685,0.49237075,0.010449106,0.50805426,0.009826047,0.5167561,0.0027928008,0.51817566,0.005947364,0.5066055,0.0084212385,0.73406315,0.070237614,0.58093697,0.016073272
16,0.50781536,0.02803884,0.49296188,0.010906665,0.5149854,0.014156857,0.51632094,0.0026404448,0.5158535,0.006807147,0.5101321,0.012601335,0.73627627,0.0696657,0.584331,0.019214861
17,0.5108957,0.034477204,0.4912926,0.010385136,0.514858,0.01528464,0.51660836,0.0031688968,0.5147917,0.005596836,0.5073103,0.009160661,0.7323222,0.0727515,0.5847697,0.02062573
