,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.03513132,0.02929649,-0.020858211,0.000818241,-0.020915806,0.0036967965,-0.021878514,0.0009324714,-0.005342598,0.0036704936,-0.013092719,0.0013570987,-0.03361091,0.0007003551,0.0048328913,0.00040878862
2,0.020213295,0.021421947,-0.019265478,0.0037121847,-0.015235486,0.01300169,-0.02196116,0.0030770854,-0.009613543,0.003187743,-0.015391949,0.0031466356,0.014994179,0.032498095,0.008214224,0.0012986938
3,0.020855868,0.027293492,-0.0190784,0.0035192333,-0.009429902,0.0139101045,-0.022182742,0.0036592942,-0.008745199,0.007797376,-0.02361311,0.002540338,0.06720917,0.046554323,0.012811812,0.0020466126
4,0.08368144,0.052230902,-0.009752542,0.0057811253,-0.014837709,0.009120285,-0.020838467,0.0036799621,-0.0040098475,0.0066647287,-0.026507145,0.01815666,0.07208828,0.049671397,0.01748568,0.0062228264
5,0.09604715,0.059915643,-0.005436139,0.00723723,-0.012133183,0.0058846553,-0.02129616,0.005487699,-0.007036568,0.0052818228,-0.026699759,0.025106087,0.0818718,0.05019462,0.023277137,0.008518824
6,0.09260458,0.059011992,0.00073824043,0.0110140145,-0.018837256,0.018540883,-0.019481055,0.0068298825,-0.011154241,0.0058412263,-0.037420195,0.01398936,0.084375,0.056417108,0.027894288,0.011316407
7,0.071902394,0.067985825,0.008304406,0.008874986,-0.005536512,0.018619122,-0.017197035,0.0055355635,-0.0049897484,0.003258733,-0.022593655,0.021739937,0.084269635,0.05585122,0.032498114,0.01266938
8,0.05282988,0.045561265,0.014756928,0.012140097,-0.009182503,0.009381731,-0.017624527,0.0062534693,-0.007881091,0.0107020475,-0.018436816,0.040236738,0.08406307,0.054867923,0.035441063,0.0113021955
9,0.093427114,0.0435086,0.021832986,0.011299693,-0.0026400334,0.01204837,-0.015132549,0.004920202,-0.0075004483,0.004235075,-0.00917046,0.057325263,0.08315219,0.054448307,0.03940075,0.010569126
10,0.10451134,0.04080816,0.030801585,0.014602357,-0.0039821304,0.008493406,-0.014755638,0.0044786274,-0.011461648,0.007323373,-0.020930683,0.029023867,0.082624316,0.054147553,0.04310734,0.008874562
11,0.09543918,0.039636154,0.03994924,0.019114276,-0.009680936,0.005730341,-0.013636014,0.005564022,-0.012244148,0.0066535585,-0.011558883,0.03794992,0.08716236,0.05344268,0.04945068,0.0075850305
12,0.09378078,0.044230916,0.050540537,0.019963043,-0.0024284688,0.018557081,-0.013402313,0.007219904,-0.012684303,0.0076538683,0.0051686727,0.0300613,0.08639796,0.05405126,0.055287708,0.008546876
13,0.1047076,0.03503453,0.05952628,0.020609368,-0.0059744054,0.011881856,-0.0130935935,0.009075739,-0.013686912,0.0022952645,0.043486644,0.05146249,0.0873875,0.053222787,0.060293704,0.008744157
14,0.1124269,0.03205652,0.0685181,0.025734032,-0.009322418,0.024786232,-0.012108169,0.00895676,-0.010436279,0.0036530877,0.047287233,0.04951591,0.086393096,0.051252015,0.06326026,0.008168763
15,0.11392202,0.027067767,0.071705475,0.017744787,0.006119171,0.022966135,-0.011788252,0.0064631654,-0.011456669,0.0075430525,0.038551882,0.06313831,0.08488105,0.052196883,0.06825039,0.012265368
16,0.11684714,0.021504316,0.0805371,0.02119498,-0.008766338,0.014835811,-0.010751145,0.0072559947,-0.0072537526,0.0049997047,0.020179175,0.07406473,0.08410318,0.052232668,0.072230995,0.010206238
