,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.35553303,0.0037950806,0.3625921,0.0017164105,0.36528426,0.009444224,0.37044916,0.0014859529,0.3699497,0.0043957173,0.36195603,0.004743807,0.40826172,0.0006774529,0.39197713,0.00053516554
2,0.41807336,0.03773675,0.3658717,0.00530037,0.3664838,0.010003079,0.37847257,0.0061921384,0.3678438,0.004021333,0.36177194,0.006436275,0.42455524,0.019086719,0.3988544,0.003188995
3,0.36874658,0.004437761,0.36730486,0.0027055899,0.36672854,0.0025614728,0.37648308,0.0058452603,0.369814,0.0072161076,0.367366,0.00519086,0.5201904,0.055499583,0.40778273,0.004413596
4,0.3745311,0.0090049505,0.36961144,0.004373014,0.36746368,0.009731629,0.3781246,0.009964194,0.37092426,0.0024886664,0.36914876,0.0038014431,0.55729866,0.052226275,0.41158694,0.0041430616
5,0.3882845,0.038752355,0.37063676,0.0018195866,0.36574823,0.009704453,0.37706247,0.0062004994,0.36908564,0.0054969317,0.36705396,0.013329105,0.58257675,0.038065705,0.41484603,0.015891206
6,0.379528,0.014396001,0.37213862,0.0044438825,0.36772224,0.011834425,0.379559,0.008401533,0.37095731,0.0025785614,0.3790575,0.020777088,0.5950352,0.04887923,0.42049313,0.016342353
7,0.39050403,0.024235155,0.3773676,0.0073954836,0.37439078,0.013823868,0.37799573,0.0062155197,0.37392843,0.008748348,0.37533537,0.041935876,0.60070026,0.06379814,0.42859492,0.011569803
8,0.3942735,0.027073747,0.3800653,0.006474907,0.37258166,0.007639277,0.3785704,0.005320718,0.37610534,0.009187464,0.38047567,0.04620769,0.6075431,0.059457317,0.43385106,0.013788003
9,0.3937991,0.019555181,0.38281688,0.0072311945,0.37795305,0.018217701,0.3803103,0.008382551,0.3711373,0.0032050505,0.38867304,0.059361584,0.60920715,0.057293165,0.4417972,0.016667208
10,0.39868134,0.029858757,0.38222846,0.008154823,0.3852173,0.019545699,0.38431105,0.006157187,0.37204805,0.0047973027,0.36113688,0.108882666,0.61729014,0.043877326,0.44919735,0.0179902
11,0.40210834,0.038163397,0.38366958,0.0115714185,0.37941948,0.021554152,0.38469854,0.0062430557,0.37739608,0.010564985,0.40169135,0.052063137,0.6192092,0.045996755,0.4548201,0.021219335
12,0.41056442,0.045897093,0.38164967,0.008378842,0.39686546,0.031145757,0.38319105,0.010413452,0.37544617,0.008138787,0.4130222,0.041142695,0.62608045,0.046262376,0.46650243,0.021907056
13,0.400317,0.0312002,0.382629,0.0066088275,0.38844413,0.03551188,0.3858884,0.008968901,0.37666953,0.005330318,0.41223276,0.044338398,0.63609207,0.050742216,0.47196683,0.024075853
14,0.40970635,0.04894721,0.3849156,0.010357285,0.39427108,0.04552454,0.38864487,0.012136014,0.37637797,0.0065435674,0.42539445,0.02463864,0.6363223,0.052451544,0.4720778,0.015258046
15,0.42139435,0.06549555,0.38384438,0.008842027,0.37228233,0.037782837,0.38607597,0.00612387,0.3789916,0.012523595,0.42579126,0.03626652,0.64140034,0.05634332,0.4785708,0.016009353
16,0.42857465,0.069631696,0.38355514,0.00722689,0.37952715,0.019978046,0.38995764,0.010098667,0.3765238,0.0078137545,0.37689552,0.09001715,0.6426058,0.056975327,0.48192778,0.016453594
17,0.4229362,0.05785381,0.38531703,0.008588346,0.38850817,0.03043291,0.38868433,0.008846087,0.37850386,0.0065847174,0.40024936,0.04949631,0.64421594,0.05509955,0.4856175,0.018125303
