,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.24744618,0.006803984,0.25023627,0.0007968774,0.24310362,0.010433994,0.2540503,0.0015210247,0.24603686,0.003378715,0.24708712,0.005035818,0.26188833,0.0006476126,0.29849687,0.0012571358
2,0.26419866,0.019842928,0.25251585,0.0036924556,0.24212721,0.011111349,0.26009652,0.010011757,0.2560366,0.0066736815,0.2517645,0.002750032,0.31623885,0.020742701,0.3205413,0.007744013
3,0.2684452,0.017016279,0.25839514,0.0064120665,0.24470079,0.006493809,0.26320806,0.0076732365,0.26500374,0.0129400585,0.25409916,0.0064261844,0.41469082,0.023683809,0.3500876,0.013746467
4,0.28248245,0.03737139,0.26318672,0.0131967785,0.24915877,0.008338235,0.26493555,0.015643978,0.2629264,0.009063876,0.2519876,0.015118386,0.4581017,0.02593752,0.37342152,0.01642249
5,0.30300996,0.034937594,0.27023867,0.013902506,0.25370532,0.0092335185,0.26453358,0.009218083,0.26246575,0.0060781105,0.2505503,0.029541483,0.48220372,0.03714402,0.38807318,0.018216241
6,0.30948922,0.016904857,0.27697235,0.0112509215,0.25523558,0.01623443,0.26773655,0.013611164,0.26649547,0.0118012335,0.26742673,0.07368143,0.49791092,0.039552946,0.4006115,0.021667331
7,0.32507977,0.024630237,0.2858568,0.011506245,0.254297,0.012508213,0.26619166,0.00963668,0.26939046,0.016134407,0.26692137,0.0739143,0.51310825,0.030540138,0.4113348,0.019734142
8,0.3409422,0.007534644,0.29310998,0.008489028,0.26097652,0.02009591,0.26598746,0.0074535445,0.2673949,0.013242801,0.26135173,0.06763524,0.5233505,0.032112278,0.42078632,0.0140999155
9,0.33929896,0.012063304,0.30313674,0.0076059676,0.25287288,0.0147173125,0.26935953,0.00942286,0.26545405,0.008262173,0.2589819,0.069232665,0.5298678,0.031102886,0.43391943,0.017027806
10,0.35088998,0.015972145,0.3090576,0.011682835,0.26078525,0.022355182,0.27310058,0.009072893,0.2631455,0.01293111,0.27635384,0.07566403,0.539986,0.031454287,0.44050226,0.019968815
11,0.3543912,0.019105265,0.3138092,0.009614179,0.2565855,0.016897,0.27499044,0.008923926,0.27164558,0.008201576,0.2831305,0.07815053,0.54518807,0.028654128,0.448239,0.015054769
12,0.360192,0.025330823,0.31233108,0.014602657,0.2847325,0.043181997,0.2745465,0.011210771,0.2664364,0.0087275505,0.27970406,0.08192859,0.5498267,0.02575015,0.463415,0.012771651
13,0.3625289,0.02811863,0.32246,0.0148903495,0.27865604,0.048035115,0.27702385,0.011344167,0.26835895,0.0053190105,0.27341253,0.077473454,0.5560709,0.021459134,0.46856934,0.010930674
14,0.37127525,0.040354215,0.3263136,0.013976438,0.2711994,0.043770336,0.28409794,0.016260823,0.26334068,0.012264995,0.25999227,0.06521498,0.55866915,0.021875482,0.47005153,0.021074766
15,0.37749052,0.050683614,0.32834172,0.016759943,0.26560086,0.03109966,0.27980208,0.012155321,0.2663116,0.009897043,0.24201906,0.053787045,0.5605633,0.01933376,0.4807349,0.015404703
16,0.38230973,0.05391016,0.32758704,0.01883753,0.2604947,0.024877986,0.2837424,0.013627861,0.26819795,0.009832398,0.25227633,0.055165637,0.5611285,0.020635964,0.48437747,0.014285291
17,0.38720742,0.05743504,0.33433554,0.016865503,0.26122352,0.024832679,0.28614858,0.013507848,0.27249846,0.012249236,0.23614514,0.04593784,0.5628249,0.020739017,0.4871014,0.015756693
