,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.51377594,0.0024772137,0.50788915,0.0005460802,0.5124649,0.0104637155,0.5138056,0.00064600655,0.5108179,0.0008855285,0.51119083,0.0066696918,0.52386117,0.00036925217,0.5280468,0.0002960179
2,0.5070839,0.007100049,0.50682306,0.00091118325,0.50859827,0.0070229867,0.51572794,0.0009883005,0.5121812,0.0017891114,0.5077128,0.005190923,0.5355345,0.015526567,0.5310008,0.0016346236
3,0.5118412,0.00447956,0.5045154,0.0011062616,0.5107895,0.0101584885,0.5152668,0.0018478276,0.5112565,0.009092721,0.50863695,0.002353186,0.60607,0.04995385,0.53445077,0.0021925454
4,0.51787853,0.008230243,0.504788,0.0014693589,0.5038502,0.009163383,0.5159385,0.002298186,0.5136099,0.0030258019,0.5117316,0.005366807,0.6532467,0.06485586,0.5373122,0.002553694
5,0.5162138,0.0039595654,0.5034884,0.00084538764,0.50585526,0.010264426,0.51549494,0.0032288944,0.5113056,0.0028345464,0.5165688,0.004811451,0.675353,0.07168865,0.5403809,0.002648624
6,0.51985514,0.0042884266,0.50291145,0.00079766073,0.50505054,0.011642273,0.51560974,0.003367681,0.5097846,0.0010513004,0.51253384,0.005573707,0.68513644,0.07243735,0.5433568,0.003721898
7,0.5145227,0.0046809246,0.50255144,0.0012434267,0.5050368,0.007424853,0.5150913,0.0029254563,0.5132728,0.0021262246,0.510892,0.009940944,0.69533974,0.08044459,0.5462785,0.004253511
8,0.51926935,0.005780716,0.50207406,0.0018824734,0.50457644,0.0072315987,0.5153879,0.0024946611,0.51395285,0.0019551797,0.5093408,0.012115119,0.7078124,0.077826396,0.54917157,0.0045217206
9,0.5164761,0.0038493688,0.50234586,0.0009145598,0.5064076,0.009454026,0.51508605,0.0021752662,0.51358545,0.0026690033,0.5082703,0.013770031,0.70975775,0.083288446,0.5545232,0.0077018086
10,0.5194589,0.0077976827,0.50193024,0.001629284,0.51457375,0.021376388,0.51641214,0.0028911221,0.5134542,0.0040092967,0.5098406,0.013004501,0.7215215,0.07697256,0.56053174,0.011585288
11,0.51821625,0.0061311503,0.5003395,0.0028614595,0.50492734,0.008510377,0.51591396,0.0025816334,0.5152181,0.005011991,0.507176,0.009878559,0.72305596,0.082116365,0.56467205,0.011258803
12,0.51998836,0.011088827,0.49922985,0.0025596353,0.5086924,0.015949281,0.5160423,0.0032951361,0.51582175,0.004118893,0.50640315,0.009274568,0.7278466,0.08194847,0.5723786,0.013812138
13,0.5278093,0.024196561,0.4997782,0.0032788757,0.5086489,0.017024586,0.51779246,0.0026654513,0.5160539,0.0036289585,0.5077122,0.00915172,0.7343586,0.08566541,0.574941,0.014393294
14,0.53693527,0.047653623,0.49963874,0.0037919756,0.5069976,0.014687719,0.51903725,0.0037094208,0.51456165,0.0026861958,0.5045809,0.0067194956,0.7349924,0.086397626,0.57419014,0.0119011365
15,0.5334413,0.038118698,0.49743143,0.0043160715,0.50816834,0.014814076,0.51856863,0.0026205643,0.51438504,0.004151818,0.50377816,0.006684483,0.73439,0.08690053,0.57788026,0.011613029
16,0.53645235,0.043299716,0.4967911,0.004984553,0.5088593,0.010936889,0.51891273,0.00335073,0.51486003,0.0022524488,0.50623256,0.008251168,0.73716724,0.09020441,0.57982934,0.014548583
17,0.5416087,0.055813074,0.49804556,0.0039156885,0.50393045,0.005923684,0.51985186,0.0042720316,0.5185302,0.0033228614,0.50902665,0.010746879,0.7378634,0.08724266,0.5828015,0.01601825
