,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,-0.18720828,0.0063595977,-0.18500438,0.0006975372,-0.19577095,0.01785982,-0.1880771,0.0010634605,-0.1943469,0.0031396656,-0.18948631,0.004447936,-0.20417313,0.00029785067,-0.1615151,0.0009516161
2,-0.19838,0.033642434,-0.18383156,0.002996281,-0.19541386,0.012288917,-0.18700375,0.0064751594,-0.18397592,0.0062141605,-0.18297784,0.00773493,-0.16380604,0.0083703315,-0.14438632,0.0061567067
3,-0.1718487,0.01740455,-0.17751497,0.0054088878,-0.19405827,0.007633957,-0.1826669,0.004056787,-0.17553152,0.008560344,-0.18390228,0.004600147,-0.14843938,0.043298773,-0.12102912,0.011722054
4,-0.16372243,0.03617031,-0.17401299,0.011552717,-0.1864982,0.0071223737,-0.18209599,0.009854913,-0.17934069,0.009215252,-0.1884526,0.015297458,-0.14717095,0.05773449,-0.101028085,0.014437993
5,-0.14923918,0.019622874,-0.16682395,0.013011898,-0.1820964,0.008292871,-0.18174516,0.004940789,-0.17772986,0.005352763,-0.1912611,0.023776028,-0.14676115,0.06489518,-0.08954029,0.016635442
6,-0.14020234,0.018239772,-0.16055268,0.011565047,-0.18115084,0.008575095,-0.17984782,0.008102253,-0.17387548,0.011969151,-0.17836893,0.06283127,-0.1421749,0.06583549,-0.081313476,0.020345774
7,-0.12743355,0.03532762,-0.15410271,0.012779918,-0.18541679,0.007458288,-0.18035182,0.005418432,-0.17421016,0.013985097,-0.17619233,0.07008037,-0.13491175,0.07725956,-0.076101884,0.018708982
8,-0.11582919,0.012802359,-0.14795968,0.008814275,-0.17760253,0.016689256,-0.18099171,0.0038821094,-0.1776342,0.009519859,-0.18355648,0.070620954,-0.13432728,0.071368925,-0.07072497,0.017759847
9,-0.115838625,0.015191591,-0.13944465,0.007582642,-0.18930747,0.006940814,-0.17833865,0.004346618,-0.1769073,0.0063778698,-0.18948974,0.07902086,-0.12961459,0.07474105,-0.06424081,0.018789507
10,-0.10818014,0.011699088,-0.13302174,0.01210511,-0.18911028,0.013588786,-0.17726101,0.0047622425,-0.17960563,0.010673445,-0.15913491,0.10018453,-0.12941983,0.0635686,-0.06436227,0.020023732
11,-0.1057711,0.011000407,-0.12819536,0.013401928,-0.18558791,0.017285548,-0.1753158,0.005494098,-0.17466153,0.0069040735,-0.17130317,0.097511224,-0.12594454,0.064039774,-0.061507106,0.018786857
12,-0.1050844,0.015952872,-0.12810867,0.018259626,-0.16804643,0.028006326,-0.17507018,0.0046495455,-0.17919758,0.0064600212,-0.1800086,0.09534653,-0.12713686,0.0625423,-0.056025494,0.021795059
13,-0.10153425,0.015311748,-0.11874359,0.018199723,-0.16989045,0.023840666,-0.17481655,0.006231509,-0.1780028,0.0054604267,-0.18655993,0.09157876,-0.12915443,0.06329781,-0.054884564,0.018243253
14,-0.10204558,0.020574305,-0.115963556,0.018143998,-0.17943493,0.017122364,-0.16974314,0.008893537,-0.18212911,0.0091008395,-0.20499538,0.07419065,-0.12698823,0.06071645,-0.053082466,0.01964988
15,-0.099927306,0.018803507,-0.11229616,0.021148976,-0.17462447,0.018162576,-0.17252024,0.0082423575,-0.1803767,0.0075554117,-0.22276564,0.06827747,-0.12733185,0.06372604,-0.047490664,0.013763971
16,-0.100203775,0.025076663,-0.11258608,0.021426471,-0.18369849,0.012312491,-0.1706928,0.007842684,-0.17749396,0.00773463,-0.1892877,0.09040086,-0.12875798,0.06334877,-0.0465011,0.0129476525
