,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.41197458,0.017072022,0.3691982,0.00252398,0.37295216,0.02653949,0.3664508,0.0012820553,0.3735363,0.0027233358,0.36559495,0.0023085403,0.41660753,0.00047421377,0.4563837,0.0005184555
2,0.4329266,0.034022983,0.3661544,0.0027869334,0.37593827,0.033482626,0.3655295,0.0030937395,0.37122568,0.0067623486,0.3685801,0.0021369657,0.4493102,0.045107555,0.47094607,0.013842582
3,0.403907,0.032456387,0.3690311,0.003389693,0.37186283,0.023693234,0.3671342,0.0017594091,0.37486336,0.0057338313,0.37113318,0.0026906645,0.54368675,0.026353074,0.504409,0.025224006
4,0.40227088,0.038530607,0.36876774,0.0021536187,0.36496836,0.017471738,0.36555043,0.0027943915,0.37574017,0.0109262625,0.37454686,0.0072961086,0.58095264,0.04870277,0.53705853,0.03094954
5,0.40049607,0.042524375,0.36885872,0.0017931571,0.3711463,0.03385743,0.3663016,0.0028361147,0.37194976,0.007890129,0.37555456,0.0053580655,0.60503495,0.044468537,0.55153215,0.022584036
6,0.38017076,0.04448698,0.37143755,0.0044946037,0.37206316,0.02885369,0.36856008,0.0045841285,0.37245584,0.010393225,0.37634626,0.009119329,0.6239401,0.03706662,0.5651872,0.03221719
7,0.37050396,0.039813954,0.3722751,0.005889647,0.3802076,0.031807948,0.36848813,0.002993182,0.37513667,0.002298079,0.37625834,0.02153729,0.6285875,0.053656735,0.5735293,0.033381406
8,0.3598579,0.02552529,0.37194395,0.005459117,0.39566866,0.061615333,0.36889625,0.002513112,0.37935838,0.012585239,0.38501143,0.015712451,0.63049996,0.05670923,0.58567935,0.028814776
9,0.3657898,0.01591424,0.37073046,0.0055126534,0.37477544,0.021018988,0.36759835,0.0046221525,0.3767708,0.00917571,0.39921668,0.037001565,0.63846534,0.0442212,0.5973457,0.023602223
10,0.39456457,0.03903733,0.3717854,0.0037979735,0.3772931,0.024783872,0.3686031,0.0019801632,0.3791648,0.01204369,0.39800453,0.03621205,0.6404497,0.044809148,0.6050161,0.022601629
11,0.3914662,0.0318877,0.37460637,0.011710469,0.3676425,0.01628141,0.3704155,0.0035087308,0.38037983,0.012281861,0.3988129,0.042660337,0.65177053,0.03789773,0.60940045,0.015631782
12,0.38503653,0.021242738,0.38224432,0.008735774,0.38522917,0.04660661,0.3702867,0.0050675645,0.38494584,0.011753997,0.41304716,0.044722594,0.6549351,0.036391914,0.61314255,0.018005729
13,0.37812534,0.009242369,0.39273044,0.0127729,0.37897843,0.030693164,0.3717928,0.0037502905,0.38170272,0.010411114,0.42510772,0.047198102,0.6615993,0.030321646,0.6172298,0.013254929
14,0.4018082,0.028773034,0.40711263,0.017895086,0.37076426,0.010459633,0.37434998,0.0060143764,0.38064316,0.011171874,0.41097903,0.04556838,0.6596235,0.030076277,0.6184973,0.016822772
15,0.39448902,0.02591537,0.4177277,0.018362794,0.37533644,0.03187941,0.37329495,0.0037295735,0.37721962,0.010501522,0.39876673,0.041313328,0.6700954,0.028515387,0.62501967,0.012442025
16,0.3928748,0.038915407,0.43577662,0.018164182,0.3755175,0.019773945,0.37495124,0.0040280106,0.38187057,0.010163836,0.39993393,0.025315693,0.6718094,0.024873892,0.63140345,0.01090916
17,0.38935572,0.016167382,0.44583416,0.017283412,0.37029517,0.021411775,0.3753082,0.0042090947,0.38283068,0.012602447,0.4005436,0.035685536,0.67363626,0.022936493,0.6342735,0.012522722
