,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.2594005,0.030556904,0.2585932,0.0022102955,0.27199244,0.014249795,0.25513113,0.0023764672,0.25575393,0.0011701194,0.24627642,0.004821426,0.31276327,0.0011805048,0.3365278,0.0015761626
2,0.20737836,0.013993879,0.25110495,0.0065196278,0.25631848,0.012446759,0.25706398,0.004024751,0.2610158,0.0037614903,0.2557235,0.00430729,0.34549874,0.048304044,0.34356022,0.011784959
3,0.25741383,0.032855064,0.24883068,0.0020472177,0.24909385,0.020322168,0.2586815,0.0036152876,0.26897368,0.009807206,0.2606319,0.008320331,0.4673883,0.041312482,0.37659845,0.022508398
4,0.23790514,0.032773428,0.2470119,0.0027651994,0.2628715,0.03682678,0.257985,0.0049220165,0.2588107,0.013422989,0.25522423,0.011759718,0.48800984,0.043040805,0.40704098,0.029682875
5,0.24058099,0.02273346,0.24475488,0.004608005,0.2578697,0.03447727,0.2592304,0.0050987806,0.25965375,0.005844197,0.2557176,0.020068968,0.49941033,0.03671849,0.42121464,0.027994337
6,0.27112395,0.038606014,0.24506442,0.0073761777,0.2535619,0.028443431,0.25910002,0.006064242,0.26179916,0.009971169,0.25738433,0.026168196,0.51219416,0.034308597,0.43263227,0.043246273
7,0.26729318,0.031831443,0.24825601,0.0077185947,0.2576033,0.020828532,0.25901502,0.0040043434,0.26164657,0.0028345261,0.25423846,0.030269524,0.51440257,0.043483123,0.43991,0.046021834
8,0.24751985,0.01077648,0.25350374,0.010083591,0.26174322,0.036924284,0.26075643,0.005742973,0.2710152,0.009975459,0.2542082,0.033323724,0.5168511,0.048555244,0.44788614,0.04400166
9,0.25971326,0.014491965,0.25976205,0.010034782,0.25764593,0.01588016,0.26178408,0.0054586725,0.26257977,0.007226617,0.25594708,0.04817818,0.5245639,0.04711073,0.45774755,0.041518733
10,0.28648335,0.033024836,0.26194328,0.010464802,0.264079,0.018521432,0.26061308,0.0044518714,0.26070076,0.0018583902,0.24416625,0.030768279,0.5286473,0.050460927,0.46675378,0.04149568
11,0.28911194,0.029693156,0.2693561,0.01855626,0.25725374,0.015838433,0.2616842,0.004920754,0.2632199,0.00987863,0.23856372,0.027495958,0.5304533,0.05325014,0.4723908,0.035400942
12,0.28434774,0.014816509,0.2794511,0.023515604,0.26121473,0.019453146,0.2621228,0.0068674316,0.26648426,0.011092793,0.22997129,0.028529711,0.5387214,0.050658096,0.4769476,0.0332919
13,0.27632082,0.0128063075,0.2851602,0.026218278,0.2613699,0.018883958,0.26394188,0.0059045255,0.26428756,0.0059867464,0.22142792,0.033521924,0.54482967,0.040065497,0.48381433,0.029622048
14,0.28795892,0.015237275,0.2920019,0.0299331,0.25056583,0.008998242,0.26712108,0.0044722217,0.25928786,0.011371793,0.22659524,0.02923132,0.5477465,0.036245055,0.48769283,0.031299047
15,0.2865294,0.022769712,0.30055976,0.034531742,0.2517523,0.013822775,0.26393652,0.0041855024,0.2613454,0.010650787,0.2298959,0.025813947,0.5536181,0.035297778,0.49404162,0.024812693
16,0.2823307,0.012418766,0.3204681,0.039195653,0.254594,0.021831492,0.26564535,0.0042188233,0.2590125,0.0067735636,0.23332709,0.021252248,0.5516168,0.03057752,0.49874744,0.024922617
17,0.28105518,0.01165468,0.32334757,0.041178156,0.24824695,0.011475058,0.26663026,0.0036157998,0.26437852,0.008745235,0.23546648,0.021992175,0.5530191,0.029354308,0.50218904,0.025875635
