,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.5111536,0.0073999795,0.51033926,0.00088120747,0.5173467,0.008688724,0.5120526,0.0007356304,0.5118263,0.002506056,0.5112584,0.003067167,0.51222694,0.00026318195,0.51513565,0.00037536366
2,0.5019046,0.009906676,0.5117433,0.0016786285,0.51375455,0.0038089673,0.5130472,0.0016621986,0.51534456,0.002625218,0.51058644,0.001460984,0.5530381,0.026581334,0.5249508,0.007504146
3,0.5080666,0.007742658,0.51580906,0.00040869135,0.5152134,0.0058760513,0.51278615,0.0010844568,0.5204727,0.0027997773,0.51075846,0.006136866,0.63361514,0.033289447,0.55062735,0.013115807
4,0.5132077,0.01291391,0.5185084,0.0021310751,0.5163833,0.012454664,0.51260287,0.001274574,0.5198835,0.0047197044,0.51345253,0.013482905,0.6798998,0.049761813,0.5957295,0.03361089
5,0.51678246,0.016474647,0.5227284,0.0016990707,0.51248604,0.010826719,0.51296765,0.001529147,0.5181754,0.0028720142,0.51275164,0.012381227,0.6988076,0.048298135,0.62441653,0.038094644
6,0.523559,0.0140740005,0.52584374,0.0025423812,0.51298857,0.005748893,0.5130988,0.0016527516,0.51943123,0.0021264711,0.5068889,0.009621262,0.7289944,0.04980674,0.6505244,0.05800522
7,0.5377538,0.015094865,0.530877,0.0035065438,0.51806056,0.012552974,0.51275045,0.002192471,0.5171773,0.0011498296,0.5067645,0.007871012,0.74539125,0.05603103,0.66375715,0.060909282
8,0.54152614,0.016251152,0.5372869,0.0035905198,0.5159693,0.014851352,0.51387256,0.0021051737,0.5199748,0.0024831467,0.5090735,0.009256643,0.76087797,0.0515361,0.6861393,0.051032733
9,0.557233,0.019759735,0.5438106,0.0052371826,0.512581,0.0075736553,0.5136503,0.002077738,0.52105945,0.006236975,0.5081328,0.011526319,0.77392155,0.051372316,0.705143,0.04175714
10,0.5606233,0.009819414,0.55223334,0.006680582,0.5125599,0.011386904,0.51446915,0.0020568634,0.5207778,0.0022824234,0.5088473,0.011820828,0.7862412,0.04860594,0.7180101,0.042572252
11,0.5763854,0.012707617,0.5606724,0.0128551135,0.50946766,0.0075603668,0.51592904,0.0022583394,0.52421755,0.0065943436,0.5062205,0.010558051,0.79448664,0.048586775,0.7275609,0.036439784
12,0.585729,0.015364393,0.5721482,0.011186986,0.5128126,0.015873102,0.515904,0.0020398945,0.5227378,0.0046766587,0.504396,0.01106727,0.8039077,0.046349216,0.73378617,0.035276365
13,0.5830346,0.013734466,0.58961356,0.018206641,0.5077858,0.008692854,0.5168167,0.0016668396,0.5201216,0.004340386,0.5042749,0.012916094,0.8102766,0.03587991,0.7432493,0.030414483
14,0.5907447,0.015757624,0.60352886,0.019251313,0.50528646,0.0011058442,0.5187152,0.0019205255,0.52048475,0.0040268525,0.5035084,0.009780238,0.8136012,0.034166764,0.74722224,0.034724187
15,0.5933909,0.013331152,0.6213036,0.023170289,0.50899625,0.009689996,0.5177038,0.0009738806,0.51959866,0.0044440427,0.50524676,0.008913372,0.8209089,0.030585129,0.75986797,0.02223353
16,0.5950788,0.017205425,0.64302355,0.025974263,0.5105708,0.00797884,0.518398,0.0010481401,0.5207189,0.0055706813,0.5051658,0.0068914616,0.8242594,0.026493216,0.77139837,0.01953012
17,0.5990026,0.01820126,0.6590459,0.028019931,0.5128615,0.0038595905,0.519889,0.001930814,0.5239346,0.005185952,0.5064141,0.0050077713,0.8296431,0.023421409,0.7720128,0.023919702
