,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.17546605,0.0016211112,0.19644359,0.0014413132,0.19487439,0.009540555,0.20126164,0.0010251913,0.19718118,0.0019701906,0.20532274,0.00080479856,0.14754151,0.00069604727,0.11867992,0.00095077895
2,0.18175216,0.01990146,0.2031136,0.003289896,0.19762619,0.020708382,0.20175044,0.0029407353,0.19922383,0.0031344858,0.19843459,0.0020166747,0.15563363,0.02108594,0.117697656,0.007614982
3,0.17740618,0.013511117,0.20687819,0.001516749,0.20473509,0.02037901,0.19987829,0.0027436712,0.19855419,0.005302696,0.19487594,0.0076518143,0.12807766,0.019135386,0.1101236,0.014775367
4,0.19311965,0.01966628,0.21061854,0.0014139877,0.20246331,0.015673008,0.2008352,0.0041254745,0.20260806,0.011699098,0.19856696,0.011795537,0.14541855,0.012204951,0.1236797,0.011067495
5,0.19624396,0.036110442,0.21592158,0.0017391918,0.19797802,0.032233495,0.20020166,0.0034081708,0.20237365,0.0078076236,0.19711562,0.0041025816,0.14658497,0.011614984,0.13804321,0.02226932
6,0.19791162,0.037918556,0.21759276,0.0037303425,0.20017605,0.028001118,0.19926874,0.0038086972,0.20230377,0.008015934,0.19002365,0.004925516,0.16092728,0.01625232,0.15161465,0.024907563
7,0.21885526,0.03004684,0.22061142,0.0046445993,0.1991551,0.018971048,0.19899887,0.0024114845,0.19878568,0.0030593257,0.1915161,0.0038526414,0.17389627,0.014495415,0.15703753,0.028020147
8,0.23783728,0.015066899,0.22456305,0.0051258486,0.18726334,0.0377376,0.19904624,0.0043757134,0.19478802,0.009044526,0.18946369,0.004191765,0.18720242,0.016003724,0.16935655,0.023722908
9,0.24448147,0.015510322,0.22856432,0.005063625,0.19637033,0.02068399,0.19895911,0.004447237,0.20138419,0.008877116,0.18055092,0.014516151,0.19240692,0.011991936,0.17759632,0.01817652
10,0.2200993,0.03020311,0.23536903,0.0006371881,0.19187383,0.018468607,0.19986105,0.0026393456,0.20084505,0.006320919,0.1877619,0.014359015,0.20169266,0.008397674,0.18212514,0.017761689
11,0.23609634,0.03241074,0.23869118,0.0023222987,0.1970195,0.012348909,0.19987917,0.0027405422,0.20241773,0.0068436847,0.1875322,0.018156338,0.2033747,0.008285127,0.18666522,0.017868876
12,0.25103682,0.016289057,0.24130052,0.005949613,0.18959066,0.020704776,0.19969928,0.0047205733,0.19702275,0.008545742,0.18288676,0.018838227,0.20707941,0.00545634,0.18874109,0.016438233
13,0.2558115,0.016883913,0.25066823,0.009964032,0.18761158,0.016086224,0.19894937,0.0041976003,0.19712645,0.0049646846,0.18100707,0.019375391,0.20706213,0.0047803037,0.19272721,0.015490077
14,0.2458611,0.025012538,0.2539716,0.011217553,0.19462141,0.0062679593,0.19797964,0.0038645493,0.2005192,0.00987157,0.18472123,0.017921245,0.20991626,0.005047745,0.19412717,0.016900647
15,0.25288168,0.024391478,0.26215988,0.013975785,0.19545189,0.013074703,0.199088,0.0036655404,0.20031615,0.009961762,0.19091545,0.017415844,0.20905213,0.005239145,0.20033732,0.011955191
16,0.25747606,0.020471327,0.2649012,0.01723631,0.19551507,0.017275004,0.1980997,0.003215119,0.20027737,0.010268753,0.18853527,0.008908861,0.21254623,0.008555773,0.20632291,0.011432256
17,0.26379713,0.014482719,0.27445504,0.024341773,0.20359042,0.014489915,0.19891977,0.004360508,0.20032999,0.011281347,0.18840909,0.014488584,0.21631534,0.008966043,0.2037816,0.0108090285
