,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,-0.0042303884,0.0029115945,-0.007784886,0.0023869495,-0.006003504,0.0052745533,-0.004659445,0.0017256665,-0.016829556,0.0023680064,-0.0047183903,0.0024165574,-0.033652406,0.0009820564,0.0093514025,0.00038551094
2,-0.008073253,0.011101504,-0.006491028,0.0024424354,-0.0057214242,0.020041304,-0.006377108,0.00342562,-0.002234902,0.014002251,-0.010780953,0.002855132,-0.0076798373,0.026438072,0.009427584,0.0036643415
3,0.00022753925,0.00975101,-0.0028194922,0.0020111543,-0.0133148655,0.013662503,-0.008975539,0.002276467,-0.013067961,0.009870383,-0.010670305,0.0058551505,0.0087097455,0.08089475,0.025167424,0.009248498
4,-0.0115460325,0.021040197,0.0026283273,0.0020964963,-0.009511863,0.01209384,-0.008327777,0.0005104811,-0.021445796,0.007925295,-0.007978431,0.008860317,0.013561338,0.07720303,0.04553882,0.008261123
5,-0.0042151865,0.01858732,0.0041012308,0.0043144785,-0.015531871,0.03410167,-0.008043094,0.002466132,-0.023785884,0.011717358,-0.011013864,0.0040923757,0.013538286,0.07199417,0.061674245,0.0203434
6,0.001998057,0.009735047,0.011740327,0.003812886,-0.012364377,0.028016524,-0.007891036,0.0028979317,-0.019477589,0.008443975,-0.018492395,0.020825516,0.01580802,0.07049991,0.0696411,0.031221766
7,0.005249808,0.011355823,0.011848666,0.0017382022,-0.009879225,0.026216453,-0.009004522,0.0024124961,-0.011513954,0.0043030065,-0.024238138,0.031244384,0.013433786,0.06319314,0.073016465,0.035258286
8,0.0011871422,0.013514215,0.016044691,0.0048845094,-0.0017875995,0.02094959,-0.008551904,0.002576932,-0.010422798,0.0069202418,-0.022055866,0.03292326,0.0138974935,0.061002996,0.072825894,0.032532748
9,0.0005440235,0.0117132375,0.019898085,0.0064556254,0.012677966,0.024747748,-0.0056966105,0.0017000821,-0.012342239,0.008052534,-0.022298919,0.030859495,0.008340056,0.05653685,0.071835235,0.029572317
10,-1.7652847e-05,0.011370075,0.02251749,0.00732375,-0.011678216,0.020742334,-0.005445707,0.0014168181,-0.011065828,0.010759933,-0.014163343,0.020566346,0.01035228,0.052527405,0.0693858,0.024921536
11,0.006260154,0.008659064,0.027145084,0.012513294,-0.015401371,0.01712714,-0.005487309,0.0012557382,-0.011784165,0.0069891447,-0.0148081165,0.017227456,0.008220492,0.047698505,0.069782495,0.026737265
12,0.005995787,0.010098484,0.027197395,0.013568579,-0.008294769,0.019792747,-0.0074583758,0.0024921324,-0.008635521,0.0067839734,-0.013888886,0.0170763,0.0063881576,0.039071638,0.06678822,0.022988534
13,0.0047097392,0.008008255,0.031333424,0.01256027,-0.003185413,0.011834611,-0.0076158764,0.001489848,-0.009452855,0.01159524,-0.013324441,0.019085776,0.004479538,0.03451865,0.062290262,0.017541036
14,-0.0019795813,0.007932086,0.035198145,0.013161139,0.0017017439,0.017704224,-0.007768992,0.0018904692,-0.012982873,0.0034689163,-0.014451284,0.016747473,-0.0002548797,0.031065667,0.0609092,0.0159503
15,-0.010558174,0.0059422557,0.042806562,0.018790152,-0.005497877,0.0193227,-0.00675823,0.0024877156,-0.011290561,0.007998372,-0.013151443,0.019048346,6.9027206e-05,0.032142546,0.05998689,0.015482688
16,-0.027017701,0.020767897,0.050988253,0.0235673,-0.011222705,0.00975735,-0.0077895094,0.002103617,-0.011138827,0.014344816,-0.008092936,0.022895511,0.0009818416,0.033231378,0.060982477,0.01420531
