,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.5191727,0.07860408,0.37461734,0.0031881025,0.38453442,0.029530687,0.39851403,0.003919843,0.3720169,0.010598773,0.38846004,0.0018566238,0.376396,0.00083003304,0.40790147,0.0008363273
2,0.3848388,0.020834941,0.3710484,0.0048510884,0.39584786,0.042358447,0.39461768,0.0072182296,0.40787458,0.017683946,0.3715601,0.0044663777,0.45013055,0.012186156,0.42149767,0.005509535
3,0.44619027,0.042657763,0.37274137,0.005015975,0.39260298,0.04292449,0.3997287,0.0068826945,0.42594036,0.031481974,0.37234637,0.013466316,0.5979643,0.022577738,0.4779617,0.02883933
4,0.49865085,0.064848095,0.3816399,0.0039227004,0.39915335,0.021064648,0.39627564,0.0021844709,0.41325292,0.012263442,0.38540167,0.021836597,0.63541347,0.03064841,0.53388536,0.018555537
5,0.5172294,0.07096136,0.38285363,0.009683667,0.41007957,0.03745682,0.39676273,0.0063745026,0.41871062,0.014660142,0.39427745,0.031815954,0.6488362,0.027489651,0.5736383,0.017297434
6,0.53067255,0.07794084,0.39663494,0.014908126,0.41260868,0.020792374,0.4004382,0.0103005925,0.41494846,0.015355146,0.40137652,0.032823674,0.6602476,0.029788567,0.5988203,0.009648151
7,0.51950634,0.061736047,0.39885822,0.010313132,0.40246624,0.032576885,0.40204012,0.007879289,0.41686907,0.019098496,0.40793812,0.045068182,0.67132676,0.036354136,0.6137296,0.01643939
8,0.5231807,0.062544666,0.40286964,0.014811396,0.41516405,0.04639771,0.40052858,0.0076214727,0.41714677,0.018665468,0.40716273,0.03788238,0.6928705,0.056326788,0.632843,0.014172633
9,0.5504158,0.053007133,0.40644607,0.01725646,0.4288195,0.059830815,0.4086685,0.008864019,0.4284958,0.017751679,0.4084393,0.04538822,0.7052393,0.054250225,0.64716256,0.020458177
10,0.55763614,0.04138407,0.40772465,0.011064669,0.39664882,0.038714167,0.41068885,0.01337812,0.4280362,0.017040292,0.41376913,0.05250454,0.7086638,0.05513787,0.65798473,0.014659429
11,0.57655966,0.028595356,0.41082636,0.016024726,0.39248705,0.047610436,0.4101577,0.008803514,0.41885194,0.01700159,0.4137565,0.05391775,0.7145627,0.051035985,0.67519367,0.0060703848
12,0.58381945,0.027316589,0.41243216,0.020172259,0.40259895,0.044345427,0.4108739,0.012400413,0.41259566,0.015991407,0.41531664,0.052450273,0.724665,0.044431355,0.6872107,0.013716194
13,0.5950078,0.01644895,0.4200613,0.02448818,0.3891977,0.0256824,0.41512394,0.008728152,0.4246773,0.019628957,0.4180395,0.044731744,0.7294551,0.043366518,0.6934179,0.016495071
14,0.616072,0.01017974,0.42188102,0.029789127,0.41732144,0.044832926,0.41886127,0.012942293,0.41303492,0.011361427,0.42401376,0.049474254,0.7322429,0.04122443,0.6980562,0.010463799
15,0.6235834,0.016852625,0.43707302,0.03386199,0.4542145,0.06250314,0.42153835,0.019468874,0.41664058,0.018431783,0.4336642,0.049906943,0.7357709,0.041731052,0.6999093,0.013609654
16,0.63589853,0.026553502,0.4373648,0.039375298,0.45198685,0.08594116,0.42542014,0.012779564,0.43911043,0.018674368,0.4451895,0.05257431,0.7372864,0.04073376,0.7041212,0.01711206
17,0.6414641,0.03164522,0.44509044,0.039122865,0.433426,0.080455594,0.4287206,0.01548867,0.42095065,0.011766394,0.45813933,0.06537998,0.73874813,0.04029772,0.7120275,0.013066825
18,0.64557946,0.036788423,0.45321065,0.043143775,0.40229616,0.022177355,0.43462068,0.010269315,0.430301,0.021549469,0.45265144,0.062047146,0.74098504,0.03966695,0.70998836,0.015323155
