,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.5814465,0.112378396,0.38722605,0.0046992623,0.38655958,0.027018882,0.4037649,0.0064951843,0.3829092,0.011900164,0.39322,0.0033966743,0.40922245,0.00096084666,0.40038013,0.00069915265
2,0.40284523,0.021308018,0.37959188,0.005993643,0.39726704,0.032021828,0.40191805,0.008059367,0.4142654,0.015860913,0.37802297,0.0049129706,0.5032933,0.028899794,0.40817013,0.0037624035
3,0.4578299,0.050113972,0.37722042,0.0037010254,0.4076236,0.05049839,0.4104743,0.009862559,0.43853742,0.029957522,0.37632412,0.010710647,0.6357981,0.09790894,0.43988842,0.025531193
4,0.5645514,0.10314074,0.3834204,0.0021169486,0.40687147,0.0270645,0.40501595,0.0034490176,0.4362151,0.019728875,0.3909215,0.024808364,0.6625873,0.09773333,0.47330803,0.030126257
5,0.57775015,0.100669794,0.38241258,0.009263438,0.43444547,0.0708203,0.40503284,0.0061887526,0.44768772,0.017302768,0.40288138,0.041267782,0.6750523,0.09475658,0.496519,0.040455304
6,0.5668821,0.10200798,0.3904603,0.01534273,0.43426704,0.030035706,0.40881118,0.0073027913,0.4371694,0.02594183,0.4200477,0.06665192,0.6797129,0.094440125,0.5128311,0.03906717
7,0.5554801,0.08363416,0.39223427,0.010044388,0.41651353,0.032257736,0.41027135,0.010238172,0.4311146,0.019979242,0.44045904,0.103631526,0.69028556,0.09688695,0.5233928,0.036398422
8,0.563315,0.08843877,0.3939108,0.011248526,0.41401005,0.029185941,0.41185376,0.006877825,0.43147698,0.030685054,0.43482417,0.09187821,0.70762247,0.10084625,0.54206884,0.03443693
9,0.5946007,0.07345166,0.3937211,0.016289134,0.4067995,0.041930333,0.41551876,0.0068497434,0.4461976,0.021647029,0.43764806,0.10157534,0.7213596,0.08974114,0.5557025,0.026404396
10,0.61393493,0.070112415,0.39369583,0.010777506,0.4039052,0.037713904,0.4181451,0.011362165,0.44308195,0.010068702,0.44715902,0.115479425,0.7223221,0.08875098,0.56960756,0.02935723
11,0.63204265,0.055523694,0.3918659,0.013883839,0.4029066,0.04821427,0.4176923,0.009795361,0.43321452,0.021592213,0.4507939,0.116633505,0.72785974,0.07643765,0.5871235,0.03661232
12,0.63870573,0.051578082,0.39209956,0.00991278,0.4074896,0.050432205,0.4212867,0.013710186,0.42158872,0.015696794,0.45266607,0.114307374,0.735866,0.06629181,0.603906,0.025716538
13,0.65533036,0.032239508,0.39833546,0.018856294,0.39250484,0.025521418,0.42653468,0.010583481,0.43495527,0.017504461,0.44862038,0.09895386,0.7425977,0.05465787,0.61622876,0.017779384
14,0.68573517,0.024130126,0.39514124,0.022832576,0.42613658,0.065487705,0.43253115,0.016563274,0.427396,0.014971475,0.45424953,0.09592923,0.7531554,0.041106153,0.6241164,0.020484844
15,0.69249594,0.022937644,0.40792698,0.022378197,0.46951875,0.05671028,0.43245402,0.021885257,0.4334055,0.028230017,0.46658605,0.103238754,0.7564627,0.03797563,0.62721974,0.024975091
16,0.72006357,0.03271648,0.3999914,0.02610348,0.46605992,0.08264105,0.4387879,0.01559359,0.4527877,0.030472005,0.47845286,0.10576323,0.75741524,0.038661223,0.6310956,0.025564317
17,0.7295352,0.045491748,0.40184563,0.028871613,0.44871053,0.06782561,0.44299763,0.019282429,0.42993075,0.019840749,0.502072,0.11311069,0.75838816,0.036836483,0.6372104,0.022435796
18,0.73322546,0.04043136,0.40066177,0.030724417,0.4352374,0.039325893,0.44835076,0.0112622,0.43869892,0.022756545,0.50427425,0.11175482,0.7578699,0.039973017,0.6359069,0.021702182
