,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.4653597,0.04875639,0.37757838,0.0050701126,0.3945163,0.031734012,0.40258205,0.0043181977,0.3947837,0.0139782615,0.39313683,0.0042448826,0.4108743,0.0012365897,0.39672008,0.0016221578
2,0.38297883,0.010398913,0.37548694,0.0033057132,0.40587148,0.037991226,0.4000715,0.004739251,0.4059536,0.02112687,0.38665915,0.004486311,0.4123276,0.008380374,0.41597003,0.008835326
3,0.43409556,0.031156342,0.3739013,0.006012897,0.40421215,0.018584305,0.40693417,0.007847813,0.43947926,0.017196817,0.38970923,0.009289735,0.5427111,0.05258973,0.4657001,0.019897249
4,0.4558424,0.042589817,0.37460274,0.0034494125,0.41045895,0.014312083,0.40419087,0.0016084085,0.4331823,0.012293785,0.39583868,0.010297986,0.581117,0.06892037,0.5033852,0.017306002
5,0.46513897,0.0430016,0.37509218,0.0070336554,0.41677743,0.022543876,0.40457878,0.008345349,0.43730527,0.015637675,0.40770128,0.020608732,0.5955435,0.07387331,0.52740926,0.025767524
6,0.4904669,0.058499012,0.37932885,0.011822809,0.41567913,0.020863427,0.4078473,0.007946445,0.43168268,0.021306787,0.41969013,0.03853657,0.6091663,0.08002572,0.54552746,0.026772764
7,0.47303286,0.030642668,0.38178486,0.009292793,0.40817744,0.04254127,0.41181797,0.008595002,0.4256515,0.016791,0.42389345,0.047432248,0.6255004,0.081724524,0.5580336,0.03142948
8,0.48067227,0.04278859,0.3797391,0.011790771,0.4198932,0.045799706,0.4063072,0.0056825243,0.4236622,0.018026594,0.42361298,0.0472975,0.6503235,0.0904035,0.5779654,0.025816806
9,0.5051429,0.04338096,0.37937483,0.01058459,0.42548355,0.056085747,0.41321144,0.00961005,0.43547845,0.018875482,0.42382842,0.046700366,0.67243886,0.07874672,0.5949521,0.018547457
10,0.5013727,0.032354612,0.3767185,0.00712956,0.4127489,0.040344205,0.414124,0.014766533,0.4351221,0.021803387,0.4087059,0.0235175,0.674301,0.07468951,0.6075903,0.02074685
11,0.5085564,0.025132744,0.37549663,0.009738958,0.41287023,0.041521404,0.41359776,0.00861588,0.42805767,0.017200315,0.4063353,0.02026223,0.6848246,0.05517464,0.6236987,0.01858706
12,0.5169415,0.0320072,0.37836996,0.010561361,0.41429782,0.040124346,0.41537783,0.010918561,0.42087364,0.017111877,0.40574494,0.02102852,0.7006876,0.03245056,0.636939,0.018640839
13,0.5252657,0.028507898,0.37912023,0.014872382,0.39226142,0.016869979,0.41894495,0.0069582555,0.43330508,0.010390146,0.4141075,0.027727677,0.7073535,0.025687613,0.64602643,0.01618182
14,0.55036795,0.02750756,0.3782245,0.013341886,0.40510282,0.033818517,0.4207294,0.011966681,0.42463955,0.0047032237,0.4226806,0.036960583,0.71184,0.017116489,0.6501776,0.016751284
15,0.5757871,0.029750353,0.38060594,0.015772643,0.4499061,0.06458788,0.42413914,0.01839016,0.42245674,0.014892602,0.42704523,0.036098476,0.714941,0.015445906,0.6526252,0.020831032
16,0.60576886,0.06216774,0.3727617,0.0135703515,0.4603592,0.08583559,0.42763138,0.013103826,0.44771084,0.024333397,0.428112,0.039936747,0.71519387,0.014832498,0.65518177,0.02367695
17,0.6150139,0.06689626,0.37466848,0.017026495,0.44940743,0.079779714,0.43387017,0.018632486,0.42716855,0.013191073,0.43185222,0.045915324,0.7171608,0.013254781,0.6618416,0.019640096
18,0.60771334,0.085842475,0.372832,0.016728854,0.41040143,0.018771932,0.43689007,0.010671694,0.44240975,0.020134678,0.42848197,0.04161775,0.7189369,0.013268698,0.66088486,0.018160634
