,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.16305172,0.0012906394,0.0044876277,0.0042953896,-0.0020955051,0.019467222,-0.0056217234,0.002445505,0.001518098,0.009767084,0.00402635,0.004385155,-0.033949472,0.0005812395,-0.00239757,0.0006504465
2,0.013553942,0.028051013,0.008233996,0.0023553257,0.0012422965,0.02455406,-0.003217234,0.002440118,0.030044502,0.008946305,0.0012295533,0.006472184,0.061104216,0.04816148,0.010321204,0.0073737074
3,0.08191178,0.07719053,0.013310629,0.0051992936,0.013763955,0.02358571,-0.00088303216,0.0019910582,0.026532073,0.016913163,0.004916944,0.0037786986,0.16257003,0.049039613,0.04029138,0.017895553
4,0.14010586,0.08081231,0.016723368,0.0028004567,0.016881151,0.04058579,1.6157035e-05,0.00075495703,0.02037252,0.017883638,0.0033937572,0.0075370846,0.1600105,0.060426094,0.06278258,0.021608086
5,0.17868745,0.017963978,0.02158479,0.0052141272,0.0021587932,0.028740205,-0.0001953136,0.0042142933,0.026098728,0.009590195,0.0016603277,0.009842935,0.17232884,0.073232345,0.072670266,0.020411357
6,0.18594816,0.010495467,0.025375731,0.008270183,0.01833467,0.018000599,0.00041571958,0.004031697,0.021483365,0.012919279,-0.0022673311,0.009594534,0.17574078,0.0818154,0.0863405,0.0145898145
7,0.17371486,0.041376423,0.03581417,0.011042673,0.0052349395,0.017328719,0.00053060846,0.0037743782,0.031153668,0.008724239,-0.003465304,0.014340711,0.17944705,0.08678049,0.09591658,0.0102850245
8,0.17198463,0.033216503,0.03863072,0.0069199274,0.0106250765,0.052136954,0.004947473,0.0044096652,0.02372073,0.011656519,-0.004388324,0.01178615,0.18016955,0.08559681,0.09777749,0.013434382
9,0.18711634,0.039638,0.053179435,0.016357869,0.0071160747,0.041314937,0.0035351235,0.006370163,0.025315385,0.010918089,-0.0023945104,0.011305919,0.18142328,0.08958973,0.113566734,0.019032702
10,0.20656553,0.026971253,0.062044002,0.016058518,0.0044294926,0.03348442,0.007330186,0.005997492,0.007022989,0.014532945,-0.005080768,0.00928009,0.18192653,0.08869956,0.12342097,0.017863674
11,0.20896749,0.020861603,0.07599597,0.022174915,0.0014920987,0.024259137,0.0076123085,0.004053527,0.021892112,0.021126537,-0.0025419216,0.0057461737,0.18718415,0.09206355,0.13029082,0.026022382
12,0.21529944,0.026283015,0.08423771,0.021779664,0.01950999,0.045255248,0.010150466,0.0031791206,0.014628604,0.0066352887,-0.004470315,0.0072087524,0.18707076,0.08796047,0.1297602,0.027086513
13,0.21715255,0.023477256,0.098739326,0.019779677,0.0336644,0.054144792,0.014501186,0.0059869466,0.020476941,0.016601974,-0.0035273368,0.0035814543,0.18492189,0.09140819,0.12833633,0.0329493
14,0.21667221,0.025169268,0.12216782,0.010976733,0.037418,0.028261848,0.016003484,0.00807637,0.011629383,0.0087022735,-0.0042002564,0.0064116577,0.19016719,0.088608526,0.13123143,0.031967975
15,0.22066337,0.025007058,0.13997874,0.015613731,0.038695645,0.037195247,0.015852237,0.0057529653,0.02423634,0.015028911,-0.008178342,0.0059093395,0.19178794,0.08574923,0.12853862,0.034327652
16,0.2220325,0.019534979,0.16103122,0.0134699475,0.029218871,0.024009334,0.02156391,0.0059018345,0.01635861,0.012147861,-0.007626146,0.006784629,0.18865456,0.09365277,0.13310471,0.031190947
17,0.22543441,0.024160061,0.17947924,0.008629309,0.029777732,0.025225569,0.020570077,0.0030492854,0.015802156,0.012124971,-0.005883577,0.0069990866,0.18839322,0.09238599,0.1346601,0.028329719
