,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.49602115,0.00059918093,0.36251283,0.0016874019,0.38567433,0.03857232,0.40477732,0.0036213687,0.39410463,0.017094117,0.40266934,0.024437895,0.40065065,0.0012134484,0.35893783,0.00040876438
2,0.41669804,0.0046358667,0.36276498,0.0051823044,0.38720876,0.04095313,0.4120793,0.004564265,0.40744656,0.026751192,0.39802584,0.033939496,0.45682058,0.021107532,0.3682608,0.0031124395
3,0.46297053,0.07348578,0.36311847,0.0040978733,0.38419,0.035297185,0.4191771,0.0041566417,0.4288044,0.015449176,0.40599716,0.02320553,0.55867183,0.039677158,0.38262978,0.003868567
4,0.48979893,0.07397384,0.35889238,0.0055637695,0.40403026,0.04795896,0.4122011,0.0066322642,0.42198187,0.02657201,0.40782714,0.018412976,0.61889553,0.07341347,0.40444747,0.01909208
5,0.524987,0.019400911,0.35759747,0.0044748113,0.40556335,0.07038929,0.41755977,0.0061286027,0.4460141,0.014727853,0.39591253,0.01253465,0.6185309,0.07495458,0.41741356,0.01786887
6,0.52686447,0.031039078,0.35809466,0.0038273567,0.41029698,0.058932044,0.42338842,0.007817423,0.43439096,0.013304768,0.40274143,0.027406408,0.62483627,0.0746971,0.43082428,0.023531118
7,0.53327537,0.03754304,0.35770544,0.0061402665,0.43025118,0.07528908,0.42113686,0.011903237,0.4356168,0.025576688,0.40323126,0.017715367,0.6305622,0.07435812,0.4362904,0.02441881
8,0.55725443,0.035191882,0.35182944,0.003589047,0.4302234,0.065626934,0.42716485,0.008980676,0.45454198,0.04143499,0.40325287,0.022179956,0.63780403,0.06736761,0.4468071,0.029535407
9,0.5633302,0.04348293,0.35263804,0.0036792546,0.41421628,0.0751463,0.42708904,0.006801625,0.41850027,0.0211058,0.4021691,0.033256356,0.6408431,0.069054246,0.46447587,0.03578782
10,0.5625866,0.043609776,0.35353494,0.0028455006,0.4415048,0.09171147,0.430122,0.009487006,0.42691344,0.014472785,0.39428487,0.030944888,0.6402529,0.069838926,0.4761613,0.03551259
11,0.56353533,0.03867714,0.35130003,0.0073565375,0.43587846,0.08917051,0.4311181,0.007438495,0.44054222,0.029761143,0.39379552,0.020612782,0.6417669,0.07615167,0.49004126,0.032964993
12,0.5599043,0.038756784,0.34767723,0.0040196106,0.4108541,0.042260215,0.43060088,0.011110291,0.4261279,0.01844103,0.39238077,0.01538685,0.64312655,0.07389846,0.49643096,0.02881329
13,0.5631084,0.038999487,0.3506198,0.0061362092,0.43850785,0.023530427,0.43549576,0.013651497,0.4277885,0.011228076,0.39118686,0.020145873,0.64636385,0.075468704,0.5053112,0.024870917
14,0.5575637,0.03713515,0.34870526,0.0066801887,0.42561072,0.05261707,0.44196284,0.014544113,0.42492208,0.012809668,0.38479415,0.015235811,0.6457048,0.079045966,0.5146761,0.023555994
15,0.56063294,0.037095666,0.34793928,0.004133352,0.4467632,0.047811463,0.44417542,0.012797702,0.4334074,0.024812302,0.3862284,0.013477503,0.6475181,0.07813414,0.52050406,0.023573855
16,0.5650605,0.03856806,0.34749886,0.0052953656,0.42209405,0.05488168,0.44660676,0.012045486,0.41863126,0.016700111,0.389848,0.016060261,0.6472389,0.08287606,0.52700806,0.024345035
17,0.5631552,0.03927978,0.34686014,0.0046427026,0.40514413,0.04432453,0.45013624,0.014127672,0.42478532,0.013923716,0.38745052,0.016960649,0.6495635,0.08201476,0.5320996,0.018599989
