,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.6364026,0.0017457741,0.3720617,0.005353134,0.3904975,0.027274916,0.4013271,0.0030898245,0.39798784,0.021913068,0.40972054,0.024907928,0.37452856,0.0008685701,0.35951298,0.00083621184
2,0.43430722,0.023183161,0.3744955,0.004753649,0.39134184,0.029944513,0.41167888,0.0050121336,0.43775016,0.031952307,0.4010412,0.03762093,0.5166322,0.03435584,0.378436,0.008094655
3,0.528223,0.11964382,0.37768963,0.0048745773,0.400169,0.042024504,0.42105916,0.004982034,0.4537468,0.024919556,0.41192585,0.027327886,0.7036066,0.039874822,0.4188141,0.017833553
4,0.59821,0.1229169,0.37521788,0.0065319715,0.42277163,0.055852048,0.41527048,0.0053507336,0.44304425,0.03535056,0.41364017,0.0211057,0.75739586,0.059133306,0.45622796,0.030915095
5,0.66282374,0.009258285,0.37729377,0.0054113893,0.41311616,0.063767165,0.4199466,0.0057234457,0.47360593,0.02073724,0.40204185,0.015504779,0.7786881,0.06397937,0.47696152,0.027244156
6,0.67347574,0.032868102,0.38072947,0.010399198,0.4323589,0.057206973,0.42667776,0.0044690976,0.463058,0.007088035,0.4058034,0.027213383,0.7929877,0.06443725,0.5027941,0.029032731
7,0.669609,0.008359394,0.39084384,0.013106463,0.43528643,0.07666931,0.42544156,0.013672446,0.471169,0.017834598,0.4049022,0.019205928,0.801451,0.064147666,0.5188834,0.025287354
8,0.68502086,0.025987418,0.38665962,0.005918032,0.4445259,0.06134044,0.43418652,0.0076619503,0.48286873,0.038325008,0.4031717,0.022388836,0.8075612,0.06066214,0.53297436,0.03115218
9,0.7061126,0.031627074,0.39962727,0.016698267,0.42700458,0.065421484,0.4314593,0.011297907,0.44394428,0.025554802,0.4061432,0.028216584,0.81312734,0.06014296,0.5679668,0.0291655
10,0.7200424,0.037173573,0.40953517,0.016250338,0.45297498,0.082631126,0.4383583,0.014474705,0.43697447,0.009241759,0.39866242,0.025077747,0.81370276,0.061494473,0.59096795,0.026637312
11,0.72152215,0.039278887,0.41820234,0.025251921,0.4419376,0.069691904,0.43970734,0.008069349,0.46030363,0.034088805,0.39877826,0.020520821,0.822472,0.06377954,0.6144528,0.023721974
12,0.7269623,0.042855386,0.42323998,0.019305497,0.4388894,0.05164125,0.44200942,0.012704833,0.44377,0.017038671,0.3971743,0.016326332,0.8242968,0.0628809,0.62265044,0.015215055
13,0.7312397,0.044198632,0.43831334,0.02044326,0.47311348,0.034331337,0.4502556,0.013518976,0.44757637,0.010571289,0.3966701,0.01684387,0.82792675,0.063053325,0.63212854,0.026043765
14,0.7273568,0.04396815,0.45692056,0.009374153,0.47034377,0.04102249,0.45755488,0.020041434,0.4397171,0.012660769,0.3928493,0.009429248,0.833333,0.06542063,0.6473141,0.024811849
15,0.7364552,0.049715947,0.47257215,0.0173794,0.49292794,0.041403595,0.4603493,0.011720921,0.45980567,0.036705304,0.39177746,0.013740879,0.83756524,0.0616176,0.653118,0.016952822
16,0.744547,0.052969117,0.49259257,0.018093325,0.45690912,0.04368186,0.46824327,0.014966897,0.43503046,0.01736534,0.39384454,0.014891121,0.8408357,0.06146375,0.6655872,0.017513968
17,0.74761003,0.055525713,0.50912166,0.008365379,0.44051304,0.04121555,0.47269684,0.014321514,0.44393262,0.007814399,0.39318544,0.015276086,0.8426274,0.058359012,0.6733939,0.016309729
18,0.7545031,0.060527746,0.521098,0.0060608448,0.45086163,0.02999704,0.47649258,0.011549111,0.44982043,0.014624544,0.39063352,0.013812938,0.84402645,0.05811756,0.69199216,0.0072407722
