,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.4506807,0.000551971,0.3726353,0.00129598,0.39951164,0.037941605,0.40912032,0.002768271,0.39883488,0.014953042,0.40871903,0.02500913,0.41630536,0.0007576918,0.3648833,0.00026776953
2,0.4248085,0.0058606826,0.36975804,0.0045169746,0.3929903,0.038121745,0.41771293,0.0051364996,0.40796477,0.023128077,0.4015975,0.03607921,0.45423537,0.017814856,0.3679688,0.0033389027
3,0.42965186,0.0320669,0.36563954,0.0034842724,0.3886201,0.028973022,0.4247073,0.0034759338,0.42562503,0.011434234,0.40802068,0.02476015,0.5234013,0.022076508,0.37441564,0.008234682
4,0.42640927,0.015102194,0.35809666,0.0023217136,0.4077507,0.03976696,0.41830754,0.0042443783,0.42336148,0.021791337,0.4126657,0.014079009,0.57587516,0.062891744,0.38244337,0.014437372
5,0.44328564,0.033330135,0.35382047,0.004434731,0.41635138,0.055806153,0.42272407,0.0058875317,0.4490003,0.015396068,0.40485054,0.007927901,0.59418756,0.06520319,0.3911689,0.017139403
6,0.44819075,0.027810564,0.35261282,0.002898787,0.41775146,0.04450736,0.42913568,0.0066390843,0.44875827,0.010978166,0.41340002,0.017843477,0.60965765,0.06806009,0.40208292,0.017759629
7,0.45851287,0.037859473,0.3523539,0.0036913895,0.42985177,0.058681153,0.42868513,0.0090408325,0.4444139,0.015572199,0.4135037,0.013065073,0.61344564,0.07052341,0.40964323,0.015143654
8,0.46881813,0.025504876,0.34422833,0.0035383527,0.4375783,0.055560842,0.43131322,0.007918763,0.46375403,0.035005208,0.41186714,0.0114686005,0.61697924,0.06715862,0.4235866,0.021353861
9,0.47466242,0.042072468,0.34025764,0.0014163809,0.4255607,0.05472573,0.42875934,0.00690432,0.41875753,0.017666016,0.41490626,0.015401616,0.62256503,0.06868413,0.4443242,0.029636594
10,0.46436718,0.023438694,0.3414474,0.0020829998,0.45558614,0.0807821,0.4319343,0.007584941,0.43298954,0.008409624,0.41320148,0.01572747,0.6232997,0.06870783,0.45893273,0.032845944
11,0.46157402,0.01487902,0.33311272,0.002626097,0.44501248,0.06404371,0.43307197,0.005016649,0.43628082,0.031820457,0.4088449,0.017522115,0.62880886,0.07648074,0.47828263,0.03248987
12,0.46342143,0.02246588,0.3303273,0.006324112,0.42790475,0.041732144,0.433117,0.009030345,0.43215483,0.01649943,0.4109084,0.016351813,0.63132554,0.075351045,0.48934945,0.027608633
13,0.46506596,0.01694064,0.3285282,0.0053107273,0.4403903,0.019085623,0.43601307,0.009158886,0.42641035,0.010941928,0.40920806,0.017446546,0.63964593,0.082806416,0.50227314,0.023086207
14,0.46380547,0.023555059,0.32080022,0.0057362425,0.44024086,0.028757699,0.44113994,0.013064552,0.43125343,0.02122912,0.40930498,0.017508458,0.64062697,0.093368396,0.5174892,0.024571335
15,0.47095072,0.02315958,0.31724754,0.004268192,0.4617014,0.03253862,0.44481868,0.010361986,0.43773136,0.027759999,0.41368318,0.020437043,0.6440364,0.094943166,0.5286548,0.026801577
16,0.4799685,0.0316002,0.31562382,0.007712444,0.4332865,0.03648096,0.44675195,0.013691423,0.41871247,0.018108377,0.4130934,0.019771151,0.6571233,0.10266959,0.53795683,0.028954072
17,0.48119602,0.037338514,0.31242475,0.0016519391,0.41632646,0.018451257,0.45411724,0.014365257,0.43147558,0.010651112,0.41068754,0.01520678,0.6589049,0.10142109,0.5453681,0.023651376
