,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.4482989,0.0032066768,0.36208582,0.0020841477,0.39433202,0.02045785,0.36802208,0.0037399142,0.3967347,0.01034682,0.38909835,0.03489029,0.39982277,0.00047273486,0.37257448,0.00057361537
2,0.37082988,0.006017864,0.36230543,0.005322646,0.39434162,0.03545577,0.3699813,0.0056065363,0.43418416,0.020409502,0.36591595,0.0135814445,0.4225169,0.03600009,0.37676647,0.0064026
3,0.49438453,0.00061329023,0.36203066,0.0061715245,0.42799473,0.07057874,0.3684829,0.005986164,0.4395663,0.026382737,0.3817829,0.033996098,0.48557767,0.10563513,0.39095727,0.010159034
4,0.48962954,0.015617351,0.361799,0.0065535586,0.4109066,0.045571163,0.36685765,0.005287856,0.44506755,0.021559058,0.39137113,0.0417057,0.5239777,0.12809162,0.40466022,0.0086677335
5,0.4369004,0.05740067,0.35990626,0.007649594,0.38973656,0.038380787,0.36868078,0.005927425,0.43212327,0.015865007,0.42035845,0.047927782,0.5582615,0.1280649,0.4207138,0.016691467
6,0.45670807,0.030991893,0.36002812,0.0076988987,0.3933013,0.04349256,0.3729983,0.0080006365,0.44346708,0.02042371,0.427344,0.05340332,0.58216166,0.13685979,0.4305265,0.016727747
7,0.5137647,0.009772325,0.35746855,0.009366505,0.4162013,0.054121457,0.37120375,0.006347643,0.42894965,0.012990694,0.41741717,0.05004591,0.6006144,0.1445589,0.44961444,0.025911262
8,0.5159934,0.030308226,0.3543081,0.011629335,0.41281906,0.042892512,0.37544405,0.0084426375,0.42511648,0.015940927,0.42913872,0.05747199,0.60835475,0.14602329,0.46050826,0.020466417
9,0.50481904,0.030791247,0.35211492,0.010750536,0.427077,0.08311283,0.3784849,0.008838698,0.42318878,0.007605439,0.41120404,0.056036774,0.6178042,0.14787571,0.49095336,0.025187433
10,0.51344264,0.020403951,0.34846643,0.010071944,0.44413394,0.0882152,0.378084,0.007036112,0.42899847,0.022205926,0.39893487,0.0631748,0.6265413,0.1511034,0.5020789,0.027557774
11,0.5219428,0.015515617,0.34303614,0.010438536,0.43240413,0.09280076,0.37952748,0.00965179,0.41779685,0.013180873,0.39990062,0.062667824,0.63318497,0.15370469,0.51876736,0.028647432
12,0.53700995,0.020463973,0.33555356,0.012627951,0.4276163,0.082360305,0.37955958,0.009106295,0.42354423,0.0170782,0.40740007,0.058631573,0.6348219,0.15480508,0.5285163,0.03239227
13,0.5493547,0.015582702,0.32746142,0.016530987,0.44532162,0.09732767,0.38026914,0.010620614,0.43297964,0.013691736,0.41084716,0.05853955,0.63721275,0.15532771,0.53987074,0.033783045
14,0.55123496,0.017945563,0.323104,0.018453209,0.48289174,0.123803034,0.3859185,0.012652199,0.4244381,0.012014753,0.4031763,0.06289617,0.6382346,0.1552035,0.5490469,0.038372613
15,0.55006516,0.027145123,0.31083345,0.02200632,0.43348607,0.07358195,0.38561425,0.012536628,0.42139435,0.008900542,0.40817383,0.05527994,0.6426563,0.15537407,0.55931586,0.042283505
16,0.54271317,0.0292965,0.30463353,0.028188467,0.44859657,0.1168749,0.38741046,0.013253696,0.42673436,0.0135926725,0.42171165,0.052927822,0.64441365,0.1547171,0.56553227,0.043486785
17,0.5562746,0.0216953,0.2932369,0.036205832,0.41277868,0.0642358,0.38983977,0.013291686,0.421225,0.013865856,0.43232486,0.056500256,0.6468627,0.15543701,0.574343,0.04413871
18,0.5792845,0.013611036,0.28945398,0.040863678,0.41870898,0.07006288,0.39397854,0.011640906,0.4254064,0.024469791,0.43633628,0.055930167,0.6464526,0.155755,0.58049285,0.04089428
