,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.522989,0.008086256,0.36905622,0.0046668733,0.40571928,0.033437908,0.3714384,0.0028361792,0.4139453,0.0064178817,0.39262214,0.033727933,0.41327995,0.0009420832,0.34614685,0.0004898172
2,0.37081563,0.005690166,0.3698159,0.004696217,0.39964557,0.02924045,0.3777693,0.007450172,0.46015674,0.025129545,0.3745488,0.013463175,0.43209186,0.044066966,0.35085684,0.0053991196
3,0.6373968,0.0081702955,0.3666666,0.0050279,0.4245637,0.055900186,0.37417158,0.006408557,0.46431437,0.034595042,0.39204183,0.03307057,0.5368563,0.11493375,0.36257923,0.0072361953
4,0.60375106,0.06529342,0.36464208,0.0043258406,0.40568972,0.039200343,0.37204328,0.004250794,0.46642715,0.04599077,0.39905232,0.035736863,0.5876985,0.114334896,0.3731996,0.010989658
5,0.4830225,0.09310297,0.36111626,0.0047941483,0.38922256,0.020193957,0.37375328,0.0072426614,0.44918784,0.020773903,0.42375574,0.05252144,0.61439896,0.11156345,0.38787803,0.018378824
6,0.50977105,0.052111547,0.3590425,0.0034667423,0.4016296,0.038004026,0.376249,0.004940558,0.4622965,0.016117293,0.4381438,0.0691322,0.6216058,0.10978558,0.400523,0.019730326
7,0.61079335,0.021034574,0.35634416,0.005286934,0.421885,0.050250243,0.37669176,0.009407738,0.44636855,0.016715208,0.43090793,0.061852816,0.63812685,0.11010619,0.4151442,0.025495477
8,0.59567964,0.0457069,0.3521979,0.0079728225,0.42166072,0.03354347,0.3811406,0.012029613,0.44409364,0.0171653,0.4605151,0.1120575,0.65139663,0.11268647,0.4242262,0.022795098
9,0.58314264,0.032429114,0.35059872,0.0067379163,0.4360873,0.07402064,0.38346183,0.010217149,0.4391314,0.0065092053,0.45209005,0.12132132,0.6626727,0.12084423,0.4515818,0.02202962
10,0.59411836,0.025302706,0.34540084,0.006045203,0.45730004,0.10825364,0.3809864,0.009674334,0.45066738,0.028723555,0.43698508,0.12500066,0.6732868,0.12760524,0.4654708,0.02351168
11,0.6056727,0.01735384,0.34051254,0.008733876,0.44449186,0.09489976,0.38464782,0.011416019,0.4369278,0.008349238,0.43797436,0.13053475,0.6789598,0.13259625,0.4888268,0.023390125
12,0.62178296,0.01721761,0.33544475,0.010689902,0.45330763,0.07007646,0.38536584,0.008857105,0.44286108,0.013713303,0.44522294,0.13057458,0.68143904,0.13283181,0.5037528,0.028781591
13,0.638226,0.011060641,0.3309643,0.012870944,0.4652025,0.08259987,0.38765004,0.0150753725,0.45232058,0.014070168,0.4515085,0.12942567,0.68701255,0.13219193,0.5158973,0.03485554
14,0.63702226,0.021126818,0.32741794,0.014447441,0.5240115,0.13906609,0.3924425,0.014071727,0.45111895,0.009604537,0.44636402,0.1329228,0.6920799,0.13035095,0.52758425,0.03373113
15,0.64175403,0.022894235,0.3209989,0.015990417,0.46533808,0.085179485,0.39165914,0.01643716,0.44533196,0.011253059,0.4493155,0.121198244,0.7029384,0.11756066,0.53783655,0.03610952
16,0.63330793,0.018239992,0.3176604,0.01691918,0.47449318,0.12756884,0.39435762,0.017135212,0.45354766,0.016089065,0.4600388,0.10983544,0.7085215,0.11129556,0.5450743,0.040015712
17,0.6486196,0.014535915,0.31164178,0.017123071,0.424611,0.06697693,0.39491516,0.016087107,0.43692145,0.015786493,0.46708694,0.106392555,0.7110686,0.111873776,0.5566127,0.041469615
