,log_barrier,log_barrier,ours,ours,bo,bo,TACO,TACO,cmaes,cmaes,lag_ppo_results,lag_ppo_results,adalead,adalead,pex,pex
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
round,,,,,,,,,,,,,,,,
1,0.48961097,0.0026764688,0.3699121,0.0025680696,0.4016288,0.023777816,0.36342722,0.002871036,0.38980374,0.010276387,0.38935018,0.0234777,0.37308717,0.00056547404,0.3755191,0.00035920553
2,0.381866,0.0064450684,0.375395,0.0032276788,0.40001124,0.025663646,0.36760244,0.0043632337,0.44051927,0.017289635,0.3791473,0.007915481,0.4245561,0.028873157,0.3864612,0.007729214
3,0.4476115,0.006170132,0.38209352,0.0018025382,0.43794927,0.072197,0.36903918,0.0030710099,0.44476485,0.035245113,0.39248857,0.02186246,0.5440345,0.053559255,0.40356493,0.016004998
4,0.45825887,0.011152339,0.38693324,0.004087766,0.4093594,0.03375123,0.36770067,0.0042941472,0.45159093,0.035020817,0.39888388,0.016748207,0.6156063,0.057411782,0.42636117,0.024967644
5,0.4456489,0.049792852,0.39015508,0.0031529195,0.39839303,0.027380884,0.36976302,0.00445541,0.44067636,0.024031619,0.41821325,0.02593234,0.6563428,0.05486254,0.4567338,0.03706229
6,0.46672073,0.03786079,0.3958872,0.004186301,0.41161734,0.03417378,0.37553632,0.005725926,0.45613918,0.018986449,0.42879733,0.04006606,0.67751265,0.06138124,0.47505197,0.03199152
7,0.5049683,0.022192385,0.39692286,0.0051848097,0.43353248,0.043740965,0.37477013,0.0053724446,0.43411788,0.007603229,0.4206186,0.038455103,0.6955534,0.06648031,0.5001732,0.038368203
8,0.522278,0.022511635,0.39971715,0.0062640347,0.43265906,0.04513877,0.37578392,0.0075860852,0.4386086,0.016778259,0.42677754,0.04325235,0.7088076,0.06854025,0.51156145,0.027779479
9,0.52242404,0.0253984,0.40385523,0.006315615,0.44010448,0.078764826,0.3805662,0.0077956035,0.4368771,0.009144341,0.407806,0.031593695,0.7206656,0.071763426,0.5429936,0.031245073
10,0.5349871,0.017855775,0.40692082,0.0060112323,0.45184106,0.08120534,0.37899572,0.0061810496,0.4368915,0.019628914,0.3956915,0.028548982,0.7295388,0.07814214,0.5581542,0.028777767
11,0.5437753,0.010601463,0.4098925,0.008570569,0.43786526,0.08376993,0.38052437,0.007986391,0.4284976,0.011226048,0.39779672,0.02983439,0.73469204,0.08070234,0.58033925,0.029245283
12,0.55564445,0.00895678,0.40871945,0.011069025,0.43324414,0.076469414,0.38254935,0.009981828,0.43756366,0.016855566,0.40632442,0.03232487,0.7407599,0.08418838,0.5964216,0.030167088
13,0.5623003,0.011427271,0.41064718,0.010155768,0.45197448,0.08209391,0.38177472,0.008916772,0.43838495,0.018012406,0.41416585,0.03428225,0.7480792,0.081233986,0.6097006,0.03336979
14,0.5615153,0.010173715,0.4175016,0.013359184,0.48631296,0.11498665,0.3873814,0.010722908,0.436726,0.015180313,0.40951186,0.03305121,0.75493026,0.074726515,0.6189396,0.035277415
15,0.57253504,0.015867854,0.4215102,0.022033466,0.4463593,0.07674681,0.38750944,0.012560878,0.43344507,0.009084808,0.4026548,0.027696423,0.7621166,0.06884216,0.63108677,0.034971267
16,0.5760885,0.016430257,0.4293954,0.028156439,0.46929806,0.13611123,0.39054245,0.011992627,0.43874758,0.017600728,0.41639748,0.034508936,0.7645127,0.0668209,0.6371702,0.03839442
17,0.58538485,0.017305374,0.43437365,0.03405277,0.42732343,0.0723556,0.39202344,0.011302037,0.43083578,0.016393615,0.4275335,0.035542063,0.7682784,0.06831211,0.6494299,0.03776513
